id,Fat Burn ,Muscle Build,Intensity rating,Workout days per week
1,false,false,1,1
2,true,false,6,3
3,false,true,8,3
4,true,false,3,7
5,false,true,1,1
6,true,true,6,4
7,false,false,6,3
8,false,false,6,6
9,true,false,4,4
10,true,true,2,3
11,true,false,1,7
12,false,false,3,3
13,true,true,9,1
14,true,false,5,7
15,false,false,9,3
16,true,false,4,4
17,false,false,3,6
18,true,true,2,3
19,true,true,9,6
20,true,false,10,6
21,true,true,5,5
22,false,false,2,4
23,true,false,1,1
24,true,true,2,7
25,false,true,6,6
26,true,true,5,3
27,false,false,2,3
28,false,false,5,5
29,true,true,7,2
30,false,true,3,6
31,false,true,8,7
32,false,true,6,5
33,true,true,1,5
34,true,false,7,7
35,false,true,5,5
36,true,false,4,3
37,true,true,7,1
38,true,true,6,2
39,false,true,1,2
40,false,true,9,2
41,false,false,8,4
42,false,true,10,7
43,true,false,1,2
44,true,false,1,7
45,false,true,9,5
46,true,true,9,4
47,false,true,3,7
48,true,true,3,4
49,true,true,6,2
50,true,false,7,4
